ticker,name,sector,industry,sector_code,theme,market,list_date,source_file
000001,平安银行,银行,银行,银行,,,19910403,data/tushare/stock_basic.csv
000002,万科Ａ,全国地产,全国地产,全国地产,,,19910129,data/tushare/stock_basic.csv
000004,*ST国华,软件服务,软件服务,软件服务,,,19901201,data/tushare/stock_basic.csv
000006,深振业Ａ,区域地产,区域地产,区域地产,,,19920427,data/tushare/stock_basic.csv
000007,全新好,其他商业,其他商业,其他商业,,,19920413,data/tushare/stock_basic.csv
000008,神州高铁,运输设备,运输设备,运输设备,,,19920507,data/tushare/stock_basic.csv
000009,中国宝安,电气设备,电气设备,电气设备,,,19910625,data/tushare/stock_basic.csv
000010,*ST美丽,建筑工程,建筑工程,建筑工程,,,19951027,data/tushare/stock_basic.csv
000011,深物业A,房产服务,房产服务,房产服务,,,19920330,data/tushare/stock_basic.csv
000012,南玻Ａ,玻璃,玻璃,玻璃,,,19920228,data/tushare/stock_basic.csv
000014,沙河股份,全国地产,全国地产,全国地产,,,19920602,data/tushare/stock_basic.csv
000016,*ST康佳A,家用电器,家用电器,家用电器,,,19920327,data/tushare/stock_basic.csv
000017,深中华A,服饰,服饰,服饰,,,19920331,data/tushare/stock_basic.csv
000019,深粮控股,农业综合,农业综合,农业综合,,,19921012,data/tushare/stock_basic.csv
000020,深华发Ａ,元器件,元器件,元器件,,,19920428,data/tushare/stock_basic.csv
000021,深科技,元器件,元器件,元器件,,,19940202,data/tushare/stock_basic.csv
001872,招商港口,港口,港口,港口,,,19930505,data/tushare/stock_basic.csv
000025,特力Ａ,综合类,综合类,综合类,,,19930621,data/tushare/stock_basic.csv
000026,飞亚达,服饰,服饰,服饰,,,19930603,data/tushare/stock_basic.csv
000027,深圳能源,火力发电,火力发电,火力发电,,,19930903,data/tushare/stock_basic.csv
000028,国药一致,医药商业,医药商业,医药商业,,,19930809,data/tushare/stock_basic.csv
000029,深深房Ａ,区域地产,区域地产,区域地产,,,19930915,data/tushare/stock_basic.csv
000030,富奥股份,汽车配件,汽车配件,汽车配件,,,19930929,data/tushare/stock_basic.csv
000031,大悦城,全国地产,全国地产,全国地产,,,19931008,data/tushare/stock_basic.csv
000032,深桑达Ａ,建筑工程,建筑工程,建筑工程,,,19931028,data/tushare/stock_basic.csv
000034,神州数码,软件服务,软件服务,软件服务,,,19940509,data/tushare/stock_basic.csv
000035,中国天楹,环境保护,环境保护,环境保护,,,19940408,data/tushare/stock_basic.csv
000036,华联控股,全国地产,全国地产,全国地产,,,19940617,data/tushare/stock_basic.csv
000037,深南电A,火力发电,火力发电,火力发电,,,19940701,data/tushare/stock_basic.csv
000039,中集集团,运输设备,运输设备,运输设备,,,19940408,data/tushare/stock_basic.csv
000042,中洲控股,全国地产,全国地产,全国地产,,,19940921,data/tushare/stock_basic.csv
001914,招商积余,房产服务,房产服务,房产服务,,,19940928,data/tushare/stock_basic.csv
000045,深纺织Ａ,元器件,元器件,元器件,,,19940815,data/tushare/stock_basic.csv
000048,京基智农,农业综合,农业综合,农业综合,,,19941101,data/tushare/stock_basic.csv
000049,德赛电池,电气设备,电气设备,电气设备,,,19950320,data/tushare/stock_basic.csv
000050,深天马Ａ,元器件,元器件,元器件,,,19950315,data/tushare/stock_basic.csv
000055,方大集团,其他建材,其他建材,其他建材,,,19960415,data/tushare/stock_basic.csv
000056,*ST皇庭,其他商业,其他商业,其他商业,,,19960708,data/tushare/stock_basic.csv
000058,深赛格,商品城,商品城,商品城,,,19961226,data/tushare/stock_basic.csv
000059,华锦股份,石油加工,石油加工,石油加工,,,19970130,data/tushare/stock_basic.csv
000060,中金岭南,铅锌,铅锌,铅锌,,,19970123,data/tushare/stock_basic.csv
000061,农产品,农业综合,农业综合,农业综合,,,19970110,data/tushare/stock_basic.csv
000062,深圳华强,元器件,元器件,元器件,,,19970130,data/tushare/stock_basic.csv
000063,中兴通讯,通信设备,通信设备,通信设备,,,19971118,data/tushare/stock_basic.csv
000065,北方国际,建筑工程,建筑工程,建筑工程,,,19980605,data/tushare/stock_basic.csv
000066,中国长城,IT设备,IT设备,IT设备,,,19970626,data/tushare/stock_basic.csv
000068,华控赛格,环境保护,环境保护,环境保护,,,19970611,data/tushare/stock_basic.csv
000069,华侨城Ａ,全国地产,全国地产,全国地产,,,19970910,data/tushare/stock_basic.csv
000070,特发信息,通信设备,通信设备,通信设备,,,20000511,data/tushare/stock_basic.csv
