ts_code,ann_date,end_date,total_assets,total_liab,total_hldr_eqy_exc_min_int
002472.SZ,20260424,20260331,19082951793.07,8269356227.53,10305253099.89
002472.SZ,20260424,20251231,18762644149.1,8252619794.04,10017720256.39
002472.SZ,20251029,20250930,18338860578.92,8237189477.16,9621651869.62
002472.SZ,20250827,20250630,17549320916.83,7848407000.8,9237167468.01
601899.SH,20260422,20260331,549920131226.0,282500837539.0,200417222123.0
601899.SH,20260321,20251231,512005142450.0,263982621036.0,185541965085.0
601899.SH,20251018,20250930,483007569343.0,256040587353.0,169312403158.0
601899.SH,20251018,20250930,483007569343.0,256040587353.0,169312403158.0
000977.SZ,20260430,20260331,84489154875.14,61855101748.41,22302622916.31
000977.SZ,20260411,20251231,83793847851.87,61702309941.11,21760119371.52
000977.SZ,20251031,20250930,109333189348.98,87924509801.74,21066631912.58
000977.SZ,20250827,20250630,107007323595.35,86246281067.9,20426359212.02
002050.SZ,20260430,20260331,49364664237.68,16427467378.35,32627879788.22
002050.SZ,20260324,20251231,49406130603.74,17365901101.16,31748926577.96
002050.SZ,20251031,20250930,48514006971.69,16615440347.65,31635024332.74
002050.SZ,20251031,20250930,48514006971.69,16615440347.65,31635024332.74
