ts_code,ann_date,end_date,n_cashflow_act,free_cashflow
002472.SZ,20260424,20260331,566489043.81,63214830.1521
002472.SZ,20260424,20251231,2391305516.45,156927439.9617
002472.SZ,20260424,20251231,2391305516.45,
002472.SZ,20251029,20250930,1297894691.04,-149407130.6588
601899.SH,20260422,20260331,27831931440.0,16983646753.0483
601899.SH,20260422,20260331,27831931440.0,
601899.SH,20260321,20251231,75429516296.0,53568715949.4951
601899.SH,20260321,20251231,75429516296.0,
000977.SZ,20260430,20260331,-7771612162.74,-7770904958.33
000977.SZ,20260430,20260331,-7771612162.74,
000977.SZ,20260411,20251231,5453052054.22,3874884910.7552
000977.SZ,20251031,20250930,-12573930381.76,-13334978945.7305
002050.SZ,20260430,20260331,1105790187.12,-293612494.4934
002050.SZ,20260430,20260331,1105790187.12,
002050.SZ,20260324,20251231,5090762717.98,2027606656.85
002050.SZ,20251031,20250930,3058283516.66,463470643.9861
