ts_code,end_date,ann_date,div_proc,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,ex_date,pay_date
002472.SZ,20251231,20260424,预案,0.0,,,0.0,0.28,,
002472.SZ,20251231,20260424,股东大会通过,0.0,,,0.0,0.28,,
002472.SZ,20250630,20250827,预案,0.0,,,0.0,0.18,,
601899.SH,20251231,20260321,预案,0.0,,,0.0,0.38,,
601899.SH,20251231,20260321,股东大会通过,0.0,,,0.0,0.38,,
601899.SH,20250630,20250827,预案,0.0,,,0.0,0.22,,
000977.SZ,20251231,20260411,预案,0.0,,,0.0,0.04,,
000977.SZ,20251231,20260411,股东大会通过,0.0,,,0.0,0.04,,
000977.SZ,20251231,20260411,实施,0.0,,,0.04,0.04,20260520,20260520
002050.SZ,20251231,20260324,预案,0.0,,,0.0,0.28,,
002050.SZ,20250630,20250829,预案,0.0,,,0.0,0.12,,
002050.SZ,20250630,20250829,股东大会通过,0.0,,,0.0,0.12,,
