ts_code,ann_date,end_date,roe,roa,grossprofit_margin,debt_to_assets,eps,bps,ocfps,netprofit_yoy,or_yoy
002472.SZ,20260424,20260331,2.7958,1.8722,27.548,43.3337,0.33,12.1251,0.6665,2.9288,1.488
002472.SZ,20260424,20251231,13.3973,8.9924,27.3362,43.9843,1.5,11.7885,2.814,23.2058,3.7668
002472.SZ,20251029,20250930,9.7459,6.5735,26.9838,44.9166,1.06,11.3282,1.5281,21.7298,-4.0967
002472.SZ,20250827,20250630,6.3943,4.356,27.0587,44.722,0.68,10.8966,1.1565,22.0178,-2.1552
601899.SH,20260422,20260331,10.4049,5.9878,36.3258,51.3712,0.755,7.4189,1.0467,97.5001,24.7938
601899.SH,20260321,20251231,31.8309,18.0647,27.7273,51.5586,1.95,6.9176,2.8368,61.5487,14.9648
601899.SH,20251018,20250930,24.4994,12.9091,24.9344,53.0096,1.425,6.3101,1.9606,55.4498,10.3313
601899.SH,20250827,20250630,16.5272,8.4364,23.7509,56.3649,0.877,5.2852,1.0847,54.4097,11.4976
000977.SZ,20260430,20260331,2.7455,0.8936,6.6392,73.2107,0.4119,15.1876,-5.2923,30.7371,-24.3031
000977.SZ,20260411,20251231,11.5566,3.5993,4.8834,73.6358,1.639,14.8182,3.7134,5.2017,43.2532
000977.SZ,20251031,20250930,7.2182,2.0418,4.9055,80.4189,1.0067,14.3103,-8.5413,15.3465,44.8467
000977.SZ,20250827,20250630,3.9514,1.1483,4.5464,80.5985,0.5425,13.8753,-3.7874,34.8674,90.0504
002050.SZ,20260430,20260331,2.8819,2.1958,27.7967,33.2778,0.22,7.7537,0.2628,2.6793,1.3574
002050.SZ,20260324,20251231,15.9183,11.0236,28.777,35.1493,1.03,7.5449,1.2098,31.0963,10.9656
002050.SZ,20251031,20250930,12.7319,9.0585,28.0837,34.2487,0.84,7.5162,0.7266,40.8513,16.8576
002050.SZ,20250829,20250630,8.7255,6.2007,28.1158,36.8049,0.57,7.0091,0.3076,39.3145,18.9142
