ts_code,ann_date,end_date,revenue,n_income,total_revenue
002472.SZ,20260424,20260331,2095472955.93,300128836.63,2095472955.93
002472.SZ,20260424,20251231,9112171720.39,1325274557.27,9112171720.39
002472.SZ,20251029,20250930,6466372998.15,952420557.88,6466372998.15
002472.SZ,20250827,20250630,4229098947.05,614904480.48,4229098947.05
601899.SH,20260422,20260331,98497579591.0,25165728674.0,98497579591.0
601899.SH,20260422,20260331,98497579591.0,25165728674.0,98497579591.0
601899.SH,20260321,20251231,349079082852.0,63822189587.0,349079082852.0
601899.SH,20251018,20250930,254199543240.0,45701159981.0,254199543240.0
000977.SZ,20260430,20260331,35470325836.04,604884837.99,35470325836.04
000977.SZ,20260430,20260331,35470325836.04,604884837.99,35470325836.04
000977.SZ,20260411,20251231,164781997658.23,2409055340.96,164781997658.23
000977.SZ,20251031,20250930,120669018861.99,1488864885.87,120669018861.99
002050.SZ,20260430,20260331,7773555419.29,950867700.26,7773555419.29
002050.SZ,20260430,20260331,7773555419.29,950867700.26,7773555419.29
002050.SZ,20260324,20251231,31011744510.27,4106689867.43,31011744510.27
002050.SZ,20251031,20250930,24029313453.31,3289082041.12,24029313453.31
