ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
603400.SH,20251105,35.0241,4.5134,4.0019,568300.0,111373.2972
300599.SZ,20251105,,1.4306,2.9348,283640.2011,168174.0261
000554.SZ,20251105,21.26,2.9992,1.0699,338478.4959,255307.8507
002038.SZ,20251105,92.7176,1.3643,13.4232,776676.6,644046.5826
000158.SZ,20251105,,7.2895,4.2104,3803109.1793,3777690.8132
002122.SZ,20251105,,2.815,5.8424,614460.6765,610383.26
300223.SZ,20251105,139.2347,3.4402,9.5816,4261799.6655,3714477.8611
301183.SZ,20251105,79.7289,8.1774,9.3029,762800.0,559008.2162
600177.SH,20251105,13.4017,0.8153,2.778,3490698.636,3490698.636
002160.SZ,20251105,116.9748,1.5813,0.701,588685.2652,452312.2699
301439.SZ,20251105,31.3084,2.1261,1.6473,629566.727,296493.523
002817.SZ,20251105,42.5572,2.5768,5.219,245858.6957,238412.3005
603876.SH,20251105,33.7972,1.7716,0.498,1295398.4949,1295398.4949
603611.SH,20251105,12.8129,2.0212,0.9251,634728.349,634728.349
688053.SH,20251105,,1.8162,15.2887,292200.0,292200.0
601229.SH,20251105,5.9323,0.6055,2.6135,14265835.5813,14265835.5813
603160.SH,20251105,47.2873,4.2501,8.4209,3935227.8643,3935227.8643
301217.SZ,20251105,3996.5898,5.0003,4.3262,2697616.5802,2697616.5802
300419.SZ,20251105,,6.6548,9.3062,287215.6944,287215.6944
301073.SZ,20251105,254.3298,4.5421,6.2912,427014.497,391282.182
603991.SH,20251105,,24.5553,15.1161,486639.0019,486639.0019
000803.SZ,20251105,40.4139,2.1312,2.167,312884.7187,308517.6004
688105.SH,20251105,,2.3842,6.8163,916380.3894,916380.3894
920101.BJ,20251105,33.8959,3.902,4.4323,399651.264,91487.1049
601868.SH,20251105,12.7465,0.9235,0.2178,10130952.7635,7880180.8155
600779.SH,20251105,37.6855,4.0579,5.4084,2042638.3996,2042638.3996
601456.SH,20251105,34.6444,1.175,9.1007,6112317.8593,2795107.7053
002664.SZ,20251105,193.5942,3.0431,1.7954,1073974.2,1059177.6875
603301.SH,20251105,94.8005,4.6693,6.1602,2662913.3128,2662913.3128
300377.SZ,20251105,,5.8732,11.4754,1480978.0738,1304847.1959
301590.SZ,20251105,43.9134,4.1982,5.6535,816060.0,158637.4397
