ts_code,ann_date,end_date,roe,roa,grossprofit_margin,debt_to_assets,ocfps,netprofit_yoy,or_yoy
000001.SZ,20251025,20250930,7.5711,,,91.0187,3.7,-3.4987,-9.7811
000001.SZ,20250823,20250630,4.9497,,,91.318,9.0,-3.8989,-10.0438
000001.SZ,20250419,20250331,2.8165,,,91.2405,8.4,-5.5987,-13.0539
000001.SZ,20250419,20250331,2.8165,,,91.2405,8.4,-5.5987,-13.0539
000001.SZ,20250315,20241231,9.2038,,,91.4228,3.26,-4.1912,-10.9315
000001.SZ,20241019,20240930,8.2528,,,91.4641,7.07,0.2372,-12.5766
000001.SZ,20240816,20240630,5.4242,,,91.6255,5.86,1.938,-12.9534
000001.SZ,20240816,20240630,5.4242,,,91.6255,5.8602,1.938,-12.9534
000001.SZ,20240420,20240331,3.1176,,,91.5248,-1.1,2.26,-14.0317
000001.SZ,20240315,20231231,10.2436,,,91.5461,4.76,2.063,-8.4471
000001.SZ,20231025,20230930,8.8025,,,91.555,5.974,8.1181,-7.6889
000001.SZ,20230824,20230630,5.7258,,,91.7813,2.28,14.9357,-3.7078
000001.SZ,20230425,20230331,3.3133,,,91.8117,5.62,13.6342,-2.4001
000001.SZ,20230425,20230331,3.3133,,,91.8117,5.62,13.6342,-2.4001
000001.SZ,20230309,20221231,10.966,,,91.8316,6.93,25.2642,6.2061
000001.SZ,20230309,20221231,10.966,,,91.8316,6.93,25.2642,6.2061
000001.SZ,20221025,20220930,8.9322,,,91.8119,4.77,25.8246,8.7074
000001.SZ,20221025,20220930,8.9322,,,91.8119,4.77,25.8246,8.7074
000001.SZ,20220818,20220630,5.4704,,,91.9335,7.75,25.6213,8.6703
000001.SZ,20220818,20220630,5.4704,,,91.9335,7.75,25.6213,8.6703
000001.SZ,20220427,20220331,3.206,,,92.0637,7.5816,26.8259,10.5748
000001.SZ,20220427,20220331,3.206,,,92.0637,7.5816,26.8259,10.5748
000001.SZ,20220310,20211231,9.5674,,,91.9647,-9.93,25.6084,10.317
000001.SZ,20220310,20211231,9.5674,,,91.9647,-9.93,25.6084,10.317
000001.SZ,20211021,20210930,7.7385,,,91.9874,-6.48,30.0786,9.116
000001.SZ,20211021,20210930,7.7385,,,91.9874,-6.48,30.0786,9.116
