ticker,rebalance_date,label_month,horizon,forward_return,label_available_at,source_price_start_date,source_price_end_date,label_role
000977,2026-05-06,2026-05,5D,-0.037045,2026-05-13,2026-05-06,2026-05-13,OUTCOME_LABEL_ONLY
000977,2026-05-06,2026-05,20D,-0.052876,2026-06-03,2026-05-06,2026-06-03,OUTCOME_LABEL_ONLY
002050,2026-05-06,2026-05,5D,0.054841,2026-05-13,2026-05-06,2026-05-13,OUTCOME_LABEL_ONLY
002050,2026-05-06,2026-05,20D,0.158609,2026-06-03,2026-05-06,2026-06-03,OUTCOME_LABEL_ONLY
002472,2026-05-06,2026-05,5D,0.01748,2026-05-13,2026-05-06,2026-05-13,OUTCOME_LABEL_ONLY
002472,2026-05-06,2026-05,20D,0.015637,2026-06-03,2026-05-06,2026-06-03,OUTCOME_LABEL_ONLY
588000,2026-05-06,2026-05,5D,0.061947,2026-05-13,2026-05-06,2026-05-13,OUTCOME_LABEL_ONLY
588000,2026-05-06,2026-05,20D,0.307132,2026-06-03,2026-05-06,2026-06-03,OUTCOME_LABEL_ONLY
601899,2026-05-06,2026-05,5D,0.004725,2026-05-13,2026-05-06,2026-05-13,OUTCOME_LABEL_ONLY
601899,2026-05-06,2026-05,20D,0.052232,2026-06-03,2026-05-06,2026-06-03,OUTCOME_LABEL_ONLY
