factor_id,ticker,rebalance_date,score,rank,bucket,score_available_at,source_artifact_ref,signal_role
F06,002472,2026-05-06,4.4222,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F06,601899,2026-05-06,2.5734,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F06,000977,2026-05-06,-6.966,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F06,002050,2026-05-06,-0.0296,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F07,002472,2026-05-06,1.3023,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F07,601899,2026-05-06,1.8728,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F07,000977,2026-05-06,-1.7498,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F07,002050,2026-05-06,-1.4253,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F08,002472,2026-05-06,0.070674,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F08,601899,2026-05-06,0.030596,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F08,000977,2026-05-06,-0.072279,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F08,002050,2026-05-06,0.005456,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F12,002472,2026-05-06,-26.6508,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F12,601899,2026-05-06,-14.7458,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F12,000977,2026-05-06,-42.0817,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F12,002050,2026-05-06,-49.5848,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F13,002472,2026-05-06,0,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F13,601899,2026-05-06,0,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F13,000977,2026-05-06,0,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F13,002050,2026-05-06,0,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F14,002472,2026-05-06,-3.7668,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F14,601899,2026-05-06,-24.7938,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F14,000977,2026-05-06,24.3031,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F14,002050,2026-05-06,-1.3574,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F15,002472,2026-05-06,-0.056817,3,4,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F15,601899,2026-05-06,-0.004848,2,3,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F15,000977,2026-05-06,-0.099143,4,5,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
F15,002050,2026-05-06,-0.003138,1,2,2026-05-06,tushare_fundamentals_2026Q1,FACTOR_SIGNAL_ONLY
