ts_code,total_mv,name
601398.SH,262315005.2175,工商银行
601939.SH,256368373.8298,建设银行
601288.SH,240088361.2369,农业银行
601857.SH,217611942.6256,中国石油
300750.SZ,212818669.766,宁德时代
600941.SH,209622357.6174,中国移动
601988.SH,183983287.1458,中国银行
600938.SH,181944663.8508,中国海油
600519.SH,172187154.5625,贵州茅台
601138.SH,125176534.1275,工业富联
601318.SH,107486962.8823,中国平安
601628.SH,103618408.53,中国人寿
601088.SH,103523669.933,中国神华
688981.SH,98641564.5523,中芯国际
600036.SH,95835413.2838,招商银行
300308.SZ,95324205.7104,中际旭创
002594.SZ,91855765.4674,比亚迪
601899.SH,90966834.7219,紫金矿业
688041.SH,80052528.1921,海光信息
688256.SH,76957543.525,寒武纪
600900.SH,66553552.1875,长江电力
600028.SH,64937001.1372,中国石化
000333.SZ,61186196.5306,美的集团
601658.SH,60768097.067,邮储银行
601328.SH,59468826.7821,交通银行
601728.SH,54446747.5259,中国电信
300502.SZ,51934998.5334,新易盛
002475.SZ,48874386.4677,立讯精密
601998.SH,46352420.1659,中信银行
603993.SH,41676116.2228,洛阳钼业
600030.SH,40741683.2329,中信证券
002371.SZ,39528746.7136,北方华创
688235.SH,38055537.8102,百济神州
601166.SH,37648723.1242,兴业银行
000858.SZ,35811715.4541,五粮液
601601.SH,35691466.7981,中国太保
600276.SH,35595302.9243,恒瑞医药
002384.SZ,35144885.324,东山精密
688795.SH,34739785.5185,摩尔线程
002415.SZ,33030197.0662,海康威视
300059.SZ,32951418.5524,东方财富
603259.SH,32522952.9895,药明康德
688802.SH,32452511.1,沐曦股份
002379.SZ,32225955.3135,宏桥控股
300476.SZ,32030922.6253,胜宏科技
601319.SH,31620153.2668,中国人保
600150.SH,30990508.464,中国船舶
600000.SH,30574759.5594,浦发银行
000338.SZ,29900946.8335,潍柴动力
601869.SH,29891513.9243,长飞光纤
300274.SZ,29134840.1415,阳光电源
601211.SH,28682262.3238,国泰海通
600309.SH,28089721.9001,万华化学
688347.SH,26412009.3336,华虹宏力
600930.SH,26154857.1427,华电新能
002714.SZ,25770648.2515,牧原股份
601225.SH,25110050.0,陕西煤业
300394.SZ,24633947.2521,天孚通信
601898.SH,24594820.607,中煤能源
688008.SH,24319336.0179,澜起科技
603986.SH,24138256.2855,兆易创新
688012.SH,24029759.6573,中微公司
601816.SH,23826805.8532,京沪高铁
003816.SZ,23178931.7337,中国广核
