factor_id,canonical_group,canonical_status,signal_role,standalone_or_pipeline_bound,sample_universe,sample_size,horizon_5D_status,horizon_20D_status,ic_5D,rank_ic_5D,ic_20D,rank_ic_20D,stability_score,decay_score,coverage_score,sample_robustness_score,correlation_redundancy_score,industry_bias_score,turnover_cost_score,liquidity_sensitivity_score,implementation_complexity_score,explainability_score,data_quality_score,small_sample_flag,industry_bias_flag,turnover_cost_flag,redundancy_flag,overfit_risk_flag,execution_dependency_flag,pipeline_dependency_flag,evaluation_tier,confidence_tier,promotion_allowed,alpha_claim_allowed,execution_allowed,runner_enabled,paper_trading_allowed,recommended_action,next_required_validation,factor_evaluation_row_hash
F04,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,c9d36903f38d97ef4c2e60ae0377c38c77c06406a8bd0b4b5b2d1456c1d56d0c
F10,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,b16101beae8370165f78b901ed13e3ff84741a8784cd6eb556a1cec7eafa4aa3
F11,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,0507de1d94abeadb7a39c1e64ce235152c616cd36ed45e0204debbd356afef05
F21,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,ea0e6f381f96010d1982ab48da8eed8d694495d56be42a7e854abf811ba8d8bc
F24,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,b5e2c4e9a5e06be2f9026e2ce0c1d68c5ead4f8809dac3c52da3f5b152d2bdb8
F30,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,69fc9bcc42c8dc034addb5d92c420d8bd2bf578717229b87b0f7aaa16ab9af72
F31,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,2fd66608192ab31347a227a8358b697fbc91810d0b4cad4574b5048c45baaa42
F53,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,dcdd1edd634fbece45fa07431cb28acfa89ec2096e62ff870ebf67ff3dcbcf6c
F54,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,34655e70bca9903946fe11e4bc9bea83946db3c303a509f10e6ab2dc312e2beb
F55,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,7af7e864691d832e19d18908113a644c0b6d5b850fa1e1effee4156bc754c791
F56,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,0a2d5912c6b7e1deb530df775f8fdd39a06329ace960518a8da669dec77a26c4
F58,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,6d03a0a811cb3d06d1821a5a8e719ee21073d5b5796f06a28ebeef41fae1bed4
F60,F7_A_STANDALONE,CANONICAL_REGISTERED,STANDALONE_SIGNAL,F7_A_STANDALONE,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,FALSE,FALSE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,33837f77a284db9d8701a74b078ea764d158f35a344ebf324b5798992ead9840
F06,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,14b175e5f8ed33d649f970e6e6aa60b1f6af31f086c3aa97ed6a6cda68712146
F07,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_C_NEEDS_MORE_DATA,LOW,FALSE,FALSE,FALSE,FALSE,FALSE,HOLD_FOR_DATA_QUALITY_REVIEW,U475_6_MONTH_FORMAL_VALIDATION,987302d431c8ef85e55f16f063c516422d44c19e393d3290c78a92ccda982c9d
F08,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_A_READY_FOR_FORMAL_VALIDATION,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,EXPAND_TO_U475_6_MONTH_FORMAL_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,f018c945bf20dcc9cecaeb0d8ec2923d5243a668b5a86cba71825a5bc9a8b5ff
F09,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_C_NEEDS_MORE_DATA,LOW,FALSE,FALSE,FALSE,FALSE,FALSE,HOLD_FOR_DATA_QUALITY_REVIEW,U475_6_MONTH_FORMAL_VALIDATION,4024591953b7f7ba0e2c09e4381a5dcd910162099325388c16804ddf50e4a034
F12,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_C_NEEDS_MORE_DATA,LOW,FALSE,FALSE,FALSE,FALSE,FALSE,HOLD_FOR_DATA_QUALITY_REVIEW,U475_6_MONTH_FORMAL_VALIDATION,2bf015884863418b196b17e1816dbe517bb11edb9c9625dc57ba0cfe2d48fb0b
F14,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_B_KEEP_PIPELINE_BOUND,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,KEEP_PIPELINE_BOUND_PENDING_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,bf7730acb2e39e2408f41b255739d3d49ba4f6f05f8e8137c780f2274437deef
F15,F7_B_PIPELINE_BOUND,CANONICAL_REGISTERED,PIPELINE_BOUND_SIGNAL,F7_B_PIPELINE_BOUND,U475 (pre-OOS),475,MONITORING_ONLY,MONITORING_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TIER_B_KEEP_PIPELINE_BOUND,LOW_MEDIUM,FALSE,FALSE,FALSE,FALSE,FALSE,KEEP_PIPELINE_BOUND_PENDING_VALIDATION,U475_6_MONTH_FORMAL_VALIDATION,79cc6c1438796a55aa664041c5c18465afb6eab73c6faf1dacf89d864d002394
