ticker,rebalance_date,horizon,forward_return,label_role
601398,20251009,5D,0.043776,OUTCOME_LABEL_ONLY
601398,20251009,20D,0.106703,OUTCOME_LABEL_ONLY
601398,20251009,60D,,OUTCOME_LABEL_ONLY
601288,20251009,5D,0.11791,OUTCOME_LABEL_ONLY
601288,20251009,20D,0.21791,OUTCOME_LABEL_ONLY
601288,20251009,60D,,OUTCOME_LABEL_ONLY
600941,20251009,5D,0.022477,OUTCOME_LABEL_ONLY
600941,20251009,20D,0.016502,OUTCOME_LABEL_ONLY
600941,20251009,60D,,OUTCOME_LABEL_ONLY
601939,20251009,5D,0.059977,OUTCOME_LABEL_ONLY
601939,20251009,20D,0.088812,OUTCOME_LABEL_ONLY
601939,20251009,60D,,OUTCOME_LABEL_ONLY
300750,20251009,5D,-0.100978,OUTCOME_LABEL_ONLY
300750,20251009,20D,-0.037108,OUTCOME_LABEL_ONLY
300750,20251009,60D,,OUTCOME_LABEL_ONLY
600519,20251009,5D,0.033499,OUTCOME_LABEL_ONLY
600519,20251009,20D,-0.001148,OUTCOME_LABEL_ONLY
600519,20251009,60D,,OUTCOME_LABEL_ONLY
601988,20251009,5D,0.028681,OUTCOME_LABEL_ONLY
601988,20251009,20D,0.082218,OUTCOME_LABEL_ONLY
601988,20251009,60D,,OUTCOME_LABEL_ONLY
601857,20251009,5D,0.018116,OUTCOME_LABEL_ONLY
601857,20251009,20D,0.158213,OUTCOME_LABEL_ONLY
601857,20251009,60D,,OUTCOME_LABEL_ONLY
601138,20251009,5D,-0.071001,OUTCOME_LABEL_ONLY
601138,20251009,20D,0.113514,OUTCOME_LABEL_ONLY
601138,20251009,60D,,OUTCOME_LABEL_ONLY
600938,20251009,5D,-0.002267,OUTCOME_LABEL_ONLY
600938,20251009,20D,0.069135,OUTCOME_LABEL_ONLY
600938,20251009,60D,,OUTCOME_LABEL_ONLY
601628,20251009,5D,0.080262,OUTCOME_LABEL_ONLY
601628,20251009,20D,0.107017,OUTCOME_LABEL_ONLY
601628,20251009,60D,,OUTCOME_LABEL_ONLY
688981,20251009,5D,-0.083579,OUTCOME_LABEL_ONLY
688981,20251009,20D,-0.101217,OUTCOME_LABEL_ONLY
688981,20251009,60D,,OUTCOME_LABEL_ONLY
600036,20251009,5D,0.039673,OUTCOME_LABEL_ONLY
600036,20251009,20D,0.049839,OUTCOME_LABEL_ONLY
600036,20251009,60D,,OUTCOME_LABEL_ONLY
002594,20251009,5D,-0.032911,OUTCOME_LABEL_ONLY
002594,20251009,20D,-0.118264,OUTCOME_LABEL_ONLY
002594,20251009,60D,,OUTCOME_LABEL_ONLY
601318,20251009,5D,0.054142,OUTCOME_LABEL_ONLY
601318,20251009,20D,0.070131,OUTCOME_LABEL_ONLY
601318,20251009,60D,,OUTCOME_LABEL_ONLY
601899,20251009,5D,-0.058987,OUTCOME_LABEL_ONLY
601899,20251009,20D,-0.082767,OUTCOME_LABEL_ONLY
601899,20251009,60D,,OUTCOME_LABEL_ONLY
601088,20251009,5D,0.065162,OUTCOME_LABEL_ONLY
601088,20251009,20D,0.115365,OUTCOME_LABEL_ONLY
601088,20251009,60D,,OUTCOME_LABEL_ONLY
601658,20251009,5D,0.008772,OUTCOME_LABEL_ONLY
601658,20251009,20D,0.026316,OUTCOME_LABEL_ONLY
601658,20251009,60D,,OUTCOME_LABEL_ONLY
600900,20251009,5D,0.017341,OUTCOME_LABEL_ONLY
600900,20251009,20D,0.029624,OUTCOME_LABEL_ONLY
600900,20251009,60D,,OUTCOME_LABEL_ONLY
600028,20251009,5D,0.016791,OUTCOME_LABEL_ONLY
600028,20251009,20D,0.035448,OUTCOME_LABEL_ONLY
600028,20251009,60D,,OUTCOME_LABEL_ONLY
601728,20251009,5D,0.010355,OUTCOME_LABEL_ONLY
601728,20251009,20D,0.0,OUTCOME_LABEL_ONLY
601728,20251009,60D,,OUTCOME_LABEL_ONLY
688041,20251009,5D,-0.114199,OUTCOME_LABEL_ONLY
688041,20251009,20D,-0.088842,OUTCOME_LABEL_ONLY
688041,20251009,60D,,OUTCOME_LABEL_ONLY
601328,20251009,5D,0.041667,OUTCOME_LABEL_ONLY
601328,20251009,20D,0.092262,OUTCOME_LABEL_ONLY
601328,20251009,60D,,OUTCOME_LABEL_ONLY
000333,20251009,5D,0.007573,OUTCOME_LABEL_ONLY
000333,20251009,20D,0.060581,OUTCOME_LABEL_ONLY
000333,20251009,60D,,OUTCOME_LABEL_ONLY
688256,20251009,5D,-0.04411,OUTCOME_LABEL_ONLY
688256,20251009,20D,0.110453,OUTCOME_LABEL_ONLY
688256,20251009,60D,,OUTCOME_LABEL_ONLY
002475,20251009,5D,-0.093415,OUTCOME_LABEL_ONLY
002475,20251009,20D,-0.055743,OUTCOME_LABEL_ONLY
002475,20251009,60D,,OUTCOME_LABEL_ONLY
600276,20251009,5D,-0.060576,OUTCOME_LABEL_ONLY
600276,20251009,20D,-0.122699,OUTCOME_LABEL_ONLY
600276,20251009,60D,,OUTCOME_LABEL_ONLY
000858,20251009,5D,0.013041,OUTCOME_LABEL_ONLY
000858,20251009,20D,-0.041185,OUTCOME_LABEL_ONLY
000858,20251009,60D,,OUTCOME_LABEL_ONLY
688235,20251009,5D,-0.061745,OUTCOME_LABEL_ONLY
688235,20251009,20D,-0.08861,OUTCOME_LABEL_ONLY
688235,20251009,60D,,OUTCOME_LABEL_ONLY
300308,20251009,5D,-0.079838,OUTCOME_LABEL_ONLY
300308,20251009,20D,0.245907,OUTCOME_LABEL_ONLY
300308,20251009,60D,,OUTCOME_LABEL_ONLY
601398,20251105,5D,0.006143,OUTCOME_LABEL_ONLY
601398,20251105,20D,-0.011057,OUTCOME_LABEL_ONLY
601398,20251105,60D,-0.115479,OUTCOME_LABEL_ONLY
601288,20251105,5D,0.050122,OUTCOME_LABEL_ONLY
601288,20251105,20D,-0.02445,OUTCOME_LABEL_ONLY
601288,20251105,60D,-0.168704,OUTCOME_LABEL_ONLY
601939,20251105,5D,0.011603,OUTCOME_LABEL_ONLY
601939,20251105,20D,-0.004219,OUTCOME_LABEL_ONLY
601939,20251105,60D,-0.081224,OUTCOME_LABEL_ONLY
600941,20251105,5D,0.012966,OUTCOME_LABEL_ONLY
600941,20251105,20D,-0.005224,OUTCOME_LABEL_ONLY
600941,20251105,60D,-0.107276,OUTCOME_LABEL_ONLY
601988,20251105,5D,0.012302,OUTCOME_LABEL_ONLY
601988,20251105,20D,0.043937,OUTCOME_LABEL_ONLY
601988,20251105,60D,-0.061511,OUTCOME_LABEL_ONLY
600519,20251105,5D,0.031738,OUTCOME_LABEL_ONLY
600519,20251105,20D,0.006352,OUTCOME_LABEL_ONLY
600519,20251105,60D,-0.067876,OUTCOME_LABEL_ONLY
300750,20251105,5D,-0.005969,OUTCOME_LABEL_ONLY
300750,20251105,20D,-0.032467,OUTCOME_LABEL_ONLY
300750,20251105,60D,-0.125315,OUTCOME_LABEL_ONLY
601857,20251105,5D,0.043022,OUTCOME_LABEL_ONLY
601857,20251105,20D,0.041973,OUTCOME_LABEL_ONLY
601857,20251105,60D,0.130115,OUTCOME_LABEL_ONLY
601138,20251105,5D,-0.088251,OUTCOME_LABEL_ONLY
601138,20251105,20D,-0.180223,OUTCOME_LABEL_ONLY
601138,20251105,60D,-0.193381,OUTCOME_LABEL_ONLY
600938,20251105,5D,0.064772,OUTCOME_LABEL_ONLY
600938,20251105,20D,0.033465,OUTCOME_LABEL_ONLY
600938,20251105,60D,0.279957,OUTCOME_LABEL_ONLY
601628,20251105,5D,0.035764,OUTCOME_LABEL_ONLY
601628,20251105,20D,0.0,OUTCOME_LABEL_ONLY
601628,20251105,60D,0.12262,OUTCOME_LABEL_ONLY
600036,20251105,5D,0.003037,OUTCOME_LABEL_ONLY
600036,20251105,20D,0.004907,OUTCOME_LABEL_ONLY
600036,20251105,60D,-0.116822,OUTCOME_LABEL_ONLY
601318,20251105,5D,0.029321,OUTCOME_LABEL_ONLY
601318,20251105,20D,0.000514,OUTCOME_LABEL_ONLY
601318,20251105,60D,0.110254,OUTCOME_LABEL_ONLY
688981,20251105,5D,-0.001252,OUTCOME_LABEL_ONLY
688981,20251105,20D,-0.068125,OUTCOME_LABEL_ONLY
688981,20251105,60D,0.073218,OUTCOME_LABEL_ONLY
002594,20251105,5D,0.020564,OUTCOME_LABEL_ONLY
002594,20251105,20D,-0.007829,OUTCOME_LABEL_ONLY
002594,20251105,60D,-0.025678,OUTCOME_LABEL_ONLY
601088,20251105,5D,-0.022487,OUTCOME_LABEL_ONLY
601088,20251105,20D,-0.044516,OUTCOME_LABEL_ONLY
601088,20251105,60D,-0.055071,OUTCOME_LABEL_ONLY
601899,20251105,5D,0.016546,OUTCOME_LABEL_ONLY
601899,20251105,20D,0.033092,OUTCOME_LABEL_ONLY
601899,20251105,60D,0.458118,OUTCOME_LABEL_ONLY
601658,20251105,5D,-0.006768,OUTCOME_LABEL_ONLY
601658,20251105,20D,-0.052453,OUTCOME_LABEL_ONLY
601658,20251105,60D,-0.147208,OUTCOME_LABEL_ONLY
600900,20251105,5D,0.006685,OUTCOME_LABEL_ONLY
600900,20251105,20D,-0.005278,OUTCOME_LABEL_ONLY
600900,20251105,60D,-0.097467,OUTCOME_LABEL_ONLY
600028,20251105,5D,0.028829,OUTCOME_LABEL_ONLY
600028,20251105,20D,0.072072,OUTCOME_LABEL_ONLY
600028,20251105,60D,0.153153,OUTCOME_LABEL_ONLY
