ticker,rebalance_date,horizon,forward_return,label_available_at,label_role
601398,20251009,5D,0.043776,20251016,OUTCOME_LABEL_ONLY
601398,20251009,20D,0.106703,20251106,OUTCOME_LABEL_ONLY
601398,20251009,60D,,,OUTCOME_LABEL_ONLY
601288,20251009,5D,0.11791,20251016,OUTCOME_LABEL_ONLY
601288,20251009,20D,0.21791,20251106,OUTCOME_LABEL_ONLY
601288,20251009,60D,,,OUTCOME_LABEL_ONLY
600941,20251009,5D,0.022477,20251016,OUTCOME_LABEL_ONLY
600941,20251009,20D,0.016502,20251106,OUTCOME_LABEL_ONLY
600941,20251009,60D,,,OUTCOME_LABEL_ONLY
601939,20251009,5D,0.059977,20251016,OUTCOME_LABEL_ONLY
601939,20251009,20D,0.088812,20251106,OUTCOME_LABEL_ONLY
601939,20251009,60D,,,OUTCOME_LABEL_ONLY
300750,20251009,5D,-0.100978,20251016,OUTCOME_LABEL_ONLY
300750,20251009,20D,-0.037108,20251106,OUTCOME_LABEL_ONLY
300750,20251009,60D,,,OUTCOME_LABEL_ONLY
600519,20251009,5D,0.033499,20251016,OUTCOME_LABEL_ONLY
600519,20251009,20D,-0.001148,20251106,OUTCOME_LABEL_ONLY
600519,20251009,60D,,,OUTCOME_LABEL_ONLY
601988,20251009,5D,0.028681,20251016,OUTCOME_LABEL_ONLY
601988,20251009,20D,0.082218,20251106,OUTCOME_LABEL_ONLY
601988,20251009,60D,,,OUTCOME_LABEL_ONLY
601857,20251009,5D,0.018116,20251016,OUTCOME_LABEL_ONLY
601857,20251009,20D,0.158213,20251106,OUTCOME_LABEL_ONLY
601857,20251009,60D,,,OUTCOME_LABEL_ONLY
601138,20251009,5D,-0.071001,20251016,OUTCOME_LABEL_ONLY
601138,20251009,20D,0.113514,20251106,OUTCOME_LABEL_ONLY
601138,20251009,60D,,,OUTCOME_LABEL_ONLY
600938,20251009,5D,-0.002267,20251016,OUTCOME_LABEL_ONLY
600938,20251009,20D,0.069135,20251106,OUTCOME_LABEL_ONLY
600938,20251009,60D,,,OUTCOME_LABEL_ONLY
601628,20251009,5D,0.080262,20251016,OUTCOME_LABEL_ONLY
601628,20251009,20D,0.107017,20251106,OUTCOME_LABEL_ONLY
601628,20251009,60D,,,OUTCOME_LABEL_ONLY
688981,20251009,5D,-0.083579,20251016,OUTCOME_LABEL_ONLY
688981,20251009,20D,-0.101217,20251106,OUTCOME_LABEL_ONLY
688981,20251009,60D,,,OUTCOME_LABEL_ONLY
600036,20251009,5D,0.039673,20251016,OUTCOME_LABEL_ONLY
600036,20251009,20D,0.049839,20251106,OUTCOME_LABEL_ONLY
600036,20251009,60D,,,OUTCOME_LABEL_ONLY
002594,20251009,5D,-0.032911,20251016,OUTCOME_LABEL_ONLY
002594,20251009,20D,-0.118264,20251106,OUTCOME_LABEL_ONLY
002594,20251009,60D,,,OUTCOME_LABEL_ONLY
601318,20251009,5D,0.054142,20251016,OUTCOME_LABEL_ONLY
601318,20251009,20D,0.070131,20251106,OUTCOME_LABEL_ONLY
601318,20251009,60D,,,OUTCOME_LABEL_ONLY
601899,20251009,5D,-0.058987,20251016,OUTCOME_LABEL_ONLY
601899,20251009,20D,-0.082767,20251106,OUTCOME_LABEL_ONLY
601899,20251009,60D,,,OUTCOME_LABEL_ONLY
601088,20251009,5D,0.065162,20251016,OUTCOME_LABEL_ONLY
601088,20251009,20D,0.115365,20251106,OUTCOME_LABEL_ONLY
601088,20251009,60D,,,OUTCOME_LABEL_ONLY
601658,20251009,5D,0.008772,20251016,OUTCOME_LABEL_ONLY
601658,20251009,20D,0.026316,20251106,OUTCOME_LABEL_ONLY
601658,20251009,60D,,,OUTCOME_LABEL_ONLY
600900,20251009,5D,0.017341,20251016,OUTCOME_LABEL_ONLY
600900,20251009,20D,0.029624,20251106,OUTCOME_LABEL_ONLY
600900,20251009,60D,,,OUTCOME_LABEL_ONLY
600028,20251009,5D,0.016791,20251016,OUTCOME_LABEL_ONLY
600028,20251009,20D,0.035448,20251106,OUTCOME_LABEL_ONLY
600028,20251009,60D,,,OUTCOME_LABEL_ONLY
601728,20251009,5D,0.010355,20251016,OUTCOME_LABEL_ONLY
601728,20251009,20D,0.0,20251106,OUTCOME_LABEL_ONLY
601728,20251009,60D,,,OUTCOME_LABEL_ONLY
688041,20251009,5D,-0.114199,20251016,OUTCOME_LABEL_ONLY
688041,20251009,20D,-0.088842,20251106,OUTCOME_LABEL_ONLY
688041,20251009,60D,,,OUTCOME_LABEL_ONLY
601328,20251009,5D,0.041667,20251016,OUTCOME_LABEL_ONLY
601328,20251009,20D,0.092262,20251106,OUTCOME_LABEL_ONLY
601328,20251009,60D,,,OUTCOME_LABEL_ONLY
000333,20251009,5D,0.007573,20251016,OUTCOME_LABEL_ONLY
000333,20251009,20D,0.060581,20251106,OUTCOME_LABEL_ONLY
000333,20251009,60D,,,OUTCOME_LABEL_ONLY
688256,20251009,5D,-0.04411,20251016,OUTCOME_LABEL_ONLY
688256,20251009,20D,0.110453,20251106,OUTCOME_LABEL_ONLY
688256,20251009,60D,,,OUTCOME_LABEL_ONLY
002475,20251009,5D,-0.093415,20251016,OUTCOME_LABEL_ONLY
002475,20251009,20D,-0.055743,20251106,OUTCOME_LABEL_ONLY
002475,20251009,60D,,,OUTCOME_LABEL_ONLY
600276,20251009,5D,-0.060576,20251016,OUTCOME_LABEL_ONLY
600276,20251009,20D,-0.122699,20251106,OUTCOME_LABEL_ONLY
600276,20251009,60D,,,OUTCOME_LABEL_ONLY
000858,20251009,5D,0.013041,20251016,OUTCOME_LABEL_ONLY
000858,20251009,20D,-0.041185,20251106,OUTCOME_LABEL_ONLY
000858,20251009,60D,,,OUTCOME_LABEL_ONLY
688235,20251009,5D,-0.061745,20251016,OUTCOME_LABEL_ONLY
688235,20251009,20D,-0.08861,20251106,OUTCOME_LABEL_ONLY
688235,20251009,60D,,,OUTCOME_LABEL_ONLY
300308,20251009,5D,-0.079838,20251016,OUTCOME_LABEL_ONLY
300308,20251009,20D,0.245907,20251106,OUTCOME_LABEL_ONLY
300308,20251009,60D,,,OUTCOME_LABEL_ONLY
600030,20251009,5D,0.0,20251016,OUTCOME_LABEL_ONLY
600030,20251009,20D,-0.015514,20251106,OUTCOME_LABEL_ONLY
600030,20251009,60D,,,OUTCOME_LABEL_ONLY
300059,20251009,5D,-0.050075,20251016,OUTCOME_LABEL_ONLY
300059,20251009,20D,-0.046712,20251106,OUTCOME_LABEL_ONLY
300059,20251009,60D,,,OUTCOME_LABEL_ONLY
601166,20251009,5D,0.039654,20251016,OUTCOME_LABEL_ONLY
601166,20251009,20D,0.07575,20251106,OUTCOME_LABEL_ONLY
601166,20251009,60D,,,OUTCOME_LABEL_ONLY
601998,20251009,5D,0.07989,20251016,OUTCOME_LABEL_ONLY
601998,20251009,20D,0.101928,20251106,OUTCOME_LABEL_ONLY
601998,20251009,60D,,,OUTCOME_LABEL_ONLY
603993,20251009,5D,-0.090909,20251016,OUTCOME_LABEL_ONLY
603993,20251009,20D,-0.040533,20251106,OUTCOME_LABEL_ONLY
603993,20251009,60D,,,OUTCOME_LABEL_ONLY
600000,20251009,5D,0.128814,20251016,OUTCOME_LABEL_ONLY
600000,20251009,20D,-0.011864,20251106,OUTCOME_LABEL_ONLY
600000,20251009,60D,,,OUTCOME_LABEL_ONLY
300502,20251009,5D,-0.075153,20251016,OUTCOME_LABEL_ONLY
300502,20251009,20D,0.015834,20251106,OUTCOME_LABEL_ONLY
