factor_id,horizon,rank_IC,t_stat,valid_n
F04,20D,0.0165,0.88,2837
F04,5D,0.0201,1.07,2846
F04,60D,-0.0859,-4.2,2370
F06,20D,,,0
F06,5D,,,0
F06,60D,,,0
F07,20D,,,0
F07,5D,,,0
F07,60D,,,0
F08,20D,,,0
F08,5D,,,0
F08,60D,,,0
F09,20D,,,0
F09,5D,,,0
F09,60D,,,0
F10,20D,0.0165,0.88,2837
F10,5D,0.0201,1.07,2846
F10,60D,-0.0859,-4.2,2370
F11,20D,0.0165,0.88,2837
F11,5D,0.0201,1.07,2846
F11,60D,-0.0859,-4.2,2370
F12,20D,,,0
F12,5D,,,0
F12,60D,,,0
F14,20D,,,0
F14,5D,,,0
F14,60D,,,0
F15,20D,,,0
F15,5D,,,0
F15,60D,,,0
F21,20D,0.0165,0.88,2837
F21,5D,0.0201,1.07,2846
F21,60D,-0.0859,-4.2,2370
F24,20D,0.0165,0.88,2837
F24,5D,0.0201,1.07,2846
F24,60D,-0.0859,-4.2,2370
F30,20D,0.0165,0.88,2837
F30,5D,0.0201,1.07,2846
F30,60D,-0.0859,-4.2,2370
F31,20D,0.0165,0.88,2837
F31,5D,0.0201,1.07,2846
F31,60D,-0.0859,-4.2,2370
F44,20D,,,0
F44,5D,,,0
F44,60D,,,0
F45,20D,,,0
F45,5D,,,0
F45,60D,,,0
F51,20D,,,0
F51,5D,,,0
F51,60D,,,0
F53,20D,0.0165,0.88,2837
F53,5D,0.0201,1.07,2846
F53,60D,-0.0859,-4.2,2370
F54,20D,0.0165,0.88,2837
F54,5D,0.0201,1.07,2846
F54,60D,-0.0859,-4.2,2370
F55,20D,0.0165,0.88,2837
F55,5D,0.0201,1.07,2846
F55,60D,-0.0859,-4.2,2370
F56,20D,0.0165,0.88,2837
F56,5D,0.0201,1.07,2846
F56,60D,-0.0859,-4.2,2370
F58,20D,0.0165,0.88,2837
F58,5D,0.0201,1.07,2846
F58,60D,-0.0859,-4.2,2370
F60,20D,0.0165,0.88,2837
F60,5D,0.0201,1.07,2846
F60,60D,-0.0859,-4.2,2370
