factor_id,month,rank_IC,observations
F04,202510,0.2352,948
F04,202602,-0.0559,1420
F06,202510,-0.0535,90
F06,202511,-0.1806,128
F06,202512,0.1392,114
F06,202601,-0.0921,108
F06,202602,-0.0481,128
F06,202603,-0.0853,119
F07,202510,0.1222,90
F07,202511,-0.1114,128
F07,202512,-0.1639,114
F07,202601,0.0176,108
F07,202602,-0.0334,128
F07,202603,-0.1056,119
F08,202510,-0.0152,90
F08,202511,-0.0729,128
F08,202512,0.0289,114
F08,202601,-0.1372,108
F08,202602,-0.0556,128
F08,202603,-0.0453,119
F09,202510,-0.1313,90
F09,202511,0.0444,128
F09,202512,0.0394,114
F09,202601,-0.0074,108
F09,202602,0.0426,128
F09,202603,0.032,119
F10,202510,-0.3348,948
F10,202511,0.0109,1421
F10,202512,0.2621,1418
F10,202601,0.0333,1422
F10,202602,-0.0361,1420
F10,202603,-0.0931,1424
F11,202510,-0.1294,948
F11,202511,-0.0353,1421
F11,202512,0.0228,1418
F11,202601,0.0175,1422
F11,202602,-0.0513,1420
F11,202603,-0.076,1424
F12,202510,-0.3212,90
F12,202511,-0.0486,128
F12,202512,0.0631,114
F12,202601,0.1418,108
F12,202602,-0.0594,128
F12,202603,0.034,119
F14,202510,-0.1808,90
F14,202511,0.0406,128
F14,202512,0.2372,114
F14,202601,-0.0593,108
F14,202602,-0.0064,128
F14,202603,0.0653,119
F15,202510,-0.1768,90
F15,202511,-0.0231,128
F15,202512,0.1655,114
F15,202601,-0.0367,108
F15,202602,-0.1299,128
F15,202603,0.0329,119
F21,202510,-0.0287,948
F21,202511,-0.0133,1421
F21,202512,0.0027,1418
F21,202601,0.0171,1422
F21,202602,0.0052,1420
F21,202603,-0.0077,1424
F24,202510,-0.1882,948
F24,202511,0.0186,1421
F24,202512,-0.0649,1418
F24,202601,-0.0179,1422
F24,202602,-0.0098,1420
F24,202603,-0.1289,1424
F30,202510,0.1182,948
F30,202511,0.0706,1421
F30,202512,-0.0737,1418
F30,202601,-0.012,1422
F30,202602,0.0576,1420
F30,202603,0.0457,1424
F31,202510,0.0131,948
F31,202511,0.0602,1421
F31,202512,-0.1296,1418
F31,202601,0.0226,1422
F31,202602,0.0558,1420
F31,202603,-0.0998,1424
F44,202510,-0.1808,90
F44,202511,0.0406,128
F44,202512,0.2372,114
F44,202601,-0.0593,108
F44,202602,-0.0064,128
F44,202603,0.0653,119
F45,202510,-0.0657,90
F45,202511,-0.1594,128
F45,202512,0.1607,114
F45,202601,-0.042,108
F45,202602,-0.0661,128
F45,202603,-0.0958,119
F51,202510,-0.1313,90
F51,202511,0.0444,128
F51,202512,0.0394,114
F51,202601,-0.0074,108
F51,202602,0.0426,128
F51,202603,0.032,119
F53,202510,0.1737,948
F53,202511,-0.0018,1421
F53,202512,-0.0782,1418
F53,202601,-0.0291,1422
F53,202602,-0.0247,1420
F53,202603,-0.0253,1424
F54,202510,0.0311,948
F54,202511,-0.0207,1421
F54,202512,0.0042,1418
F54,202601,-0.0009,1422
F54,202602,-0.0421,1420
F54,202603,-0.0145,1424
F55,202510,0.0018,948
F55,202511,0.0219,1421
F55,202512,-0.0587,1418
F55,202601,0.0142,1422
F55,202602,0.0734,1420
F55,202603,0.0652,1424
F56,202510,0.04,948
F56,202511,-0.002,1421
F56,202512,0.1086,1418
F56,202601,0.0288,1422
F56,202602,-0.0405,1420
F56,202603,0.066,1424
F58,202510,0.0309,948
F58,202511,-0.0518,1421
F58,202512,0.0613,1418
F58,202601,0.0208,1422
F58,202602,-0.0454,1420
F58,202603,-0.0322,1424
F60,202510,-0.0313,948
F60,202511,-0.0572,1421
F60,202512,0.0121,1418
F60,202601,-0.0044,1422
F60,202602,-0.0027,1420
F60,202603,-0.0493,1424
