factor_id,horizon,spread,top_n,bot_n
F04,20D,0.006829,379,379
F04,5D,-0.032257,378,380
F04,60D,0.038638,190,189
F06,20D,0.048005,226,17
F06,5D,-0.002564,228,17
F06,60D,0.085103,187,12
F07,20D,-0.008697,161,82
F07,5D,-0.007089,163,82
F07,60D,0.025715,134,65
F08,20D,0.007675,200,43
F08,5D,-0.011854,201,44
F08,60D,0.052868,160,39
F09,20D,0.00842,92,95
F09,5D,-0.011252,93,95
F09,60D,-0.006986,74,79
F10,20D,-0.000627,1134,1137
F10,5D,0.010592,1137,1139
F10,60D,-0.12614,947,948
F11,20D,0.001115,1132,1138
F11,5D,-0.003785,1137,1139
F11,60D,0.062318,946,950
F12,20D,0.010078,89,90
F12,5D,0.00896,89,90
F12,60D,-0.099738,73,75
F14,20D,0.009681,67,176
F14,5D,0.009935,68,177
F14,60D,-0.085969,54,145
F15,20D,,0,243
F15,5D,,0,245
F15,60D,,0,199
F21,20D,0.000191,1134,1134
F21,5D,0.002899,1137,1140
F21,60D,0.006212,948,948
F24,20D,0.014548,1134,1136
F24,5D,0.009436,1136,1140
F24,60D,0.028943,947,949
F30,20D,-0.01615,1132,1140
F30,5D,-0.001616,1137,1140
F30,60D,0.010251,946,950
F31,20D,0.000969,1133,1135
F31,5D,0.009643,1136,1140
F31,60D,0.067093,947,949
F44,20D,0.009681,67,176
F44,5D,0.009935,68,177
F44,60D,-0.085969,54,145
F45,20D,0.051991,228,15
F45,5D,-0.005145,230,15
F45,60D,0.076205,188,11
F51,20D,0.00842,92,95
F51,5D,-0.011252,93,95
F51,60D,-0.006986,74,79
F53,20D,0.013894,1132,1137
F53,5D,8.3e-05,1136,1140
F53,60D,0.065467,947,949
F54,20D,0.009587,1134,1137
F54,5D,0.004416,1136,1140
F54,60D,-0.013434,948,950
F55,20D,-0.004637,1133,1136
F55,5D,-0.004456,1136,1140
F55,60D,0.007623,947,949
F56,20D,-0.011679,1133,1136
F56,5D,0.002381,1136,1140
F56,60D,-0.049162,948,948
F58,20D,0.006079,1133,1136
F58,5D,0.005388,1136,1140
F58,60D,0.002944,948,947
F60,20D,-0.003938,1132,1136
F60,5D,-0.008989,1137,1139
F60,60D,0.061224,945,950
