oos_rebalance_date,horizon,high_low_spread
20240930,40D,-0.128157
20240930,60D,-0.07933
20241031,40D,0.10269
20241031,60D,0.099463
20241129,40D,0.101136
20241129,60D,0.027897
20241231,40D,-0.032289
20241231,60D,-0.014521
20250127,40D,0.027342
20250127,60D,0.004614
20250228,40D,-0.0456
20250228,60D,-0.005788
20250331,40D,-0.006777
20250331,60D,-0.042614
20250430,40D,0.00693
20250430,60D,0.011694
20250530,40D,-0.003142
20250530,60D,0.030687
20250630,40D,-0.015567
20250630,60D,0.00104
20250731,40D,-0.027701
20250731,60D,-0.075713
20250829,40D,0.064137
20250829,60D,0.064336
20250930,40D,0.045121
20250930,60D,-0.014805
20251031,40D,0.007111
20251031,60D,-0.065664
20251128,40D,-0.079932
20251128,60D,-0.089221
20251231,40D,-0.076793
20251231,60D,-0.074575
20260130,40D,-0.031157
20260130,60D,-0.048798
20260227,40D,0.023016
