rebalance_date,high_20d,mid_20d,low_20d
20210831,-0.063331,0.036145,0.004331
20210930,-0.053833,-0.032745,-0.026628
20211029,0.044106,0.064368,0.053797
20211130,0.029251,0.061492,0.065306
20211231,-0.084952,-0.044784,-0.043976
20220128,0.061262,0.066203,0.06863
20220228,-0.037478,-0.02305,-0.021293
20220331,-0.112939,-0.124757,-0.105516
20220429,0.147158,0.147083,0.090012
20220531,0.030343,0.031785,0.024321
20220630,0.00674,0.01612,0.029607
20220729,-0.007474,-0.006097,0.021411
20220831,-0.083591,-0.078361,-0.061777
20220930,0.067809,0.058672,0.071376
20221031,0.100852,0.098576,0.093827
20221130,-0.017405,-0.04304,-0.031976
20221230,0.059777,0.07453,0.080892
20230131,0.023492,0.026426,0.025914
20230228,-0.034916,-0.027155,-0.032812
20230331,-0.028665,-0.010506,-0.021919
20230428,-0.02979,-0.028437,-0.001912
20230531,0.019867,0.00651,0.013223
20230630,0.005984,0.040884,0.059202
20230731,-0.05045,-0.066499,-0.072715
20230831,-0.015421,-0.003331,0.010724
20230928,-0.026049,-0.014498,-0.015364
20231031,0.043308,0.03815,0.038947
20231130,-0.04236,-0.028661,-0.025624
20231229,-0.09085,-0.042823,-0.035493
20240131,0.050068,0.017075,0.039769
20240229,0.045665,0.029059,0.01446
20240329,-0.028002,0.000866,0.000854
20240430,-0.015592,-0.014571,-0.012516
20240531,-0.093406,-0.089553,-0.085225
20240628,-0.013763,-0.02881,-0.041334
20240731,-0.074878,-0.045666,-0.045772
20240830,0.273425,0.287445,0.270777
20240909,0.207906,0.192394,0.171888
