rebalance_date,ticker,relative_strength_score,factor_value,known_at
20240930,000001,0.0,0.0,20240930
20240930,000002,0.0225,0.0225,20240930
20240930,000004,0.0266,0.0266,20240930
20240930,000006,0.0656,0.0656,20240930
20240930,000007,0.0,0.0,20240930
20240930,000008,0.0225,0.0225,20240930
20240930,000009,0.3094,0.3094,20240930
20240930,000010,0.0,0.0,20240930
20240930,000011,0.0,0.0,20240930
20240930,000012,0.0,0.0,20240930
20240930,000014,-0.0205,-0.0205,20240930
20240930,000016,0.0287,0.0287,20240930
20240930,000017,0.2889,0.2889,20240930
20240930,000019,-0.2602,-0.2602,20240930
20240930,000020,0.5512,0.5512,20240930
20240930,000021,0.4078,0.4078,20240930
20240930,000025,-0.1557,-0.1557,20240930
20240930,000026,0.0,0.0,20240930
20240930,000027,0.0943,0.0943,20240930
20240930,000028,0.2152,0.2152,20240930
20240930,000029,0.0738,0.0738,20240930
20240930,000030,-0.4078,-0.4078,20240930
20240930,000031,0.0,0.0,20240930
20240930,000032,0.1865,0.1865,20240930
20240930,000034,-0.1414,-0.1414,20240930
20240930,000035,0.0,0.0,20240930
20240930,000036,-0.0697,-0.0697,20240930
20240930,000037,0.2602,0.2602,20240930
20240930,000039,-0.1434,-0.1434,20240930
20240930,000042,0.002,0.002,20240930
20240930,000045,-0.3463,-0.3463,20240930
20240930,000048,-0.0471,-0.0471,20240930
20240930,000049,-0.25,-0.25,20240930
20240930,000050,0.0,0.0,20240930
20240930,000055,-0.0369,-0.0369,20240930
20240930,000056,-0.043,-0.043,20240930
20240930,000058,0.0,0.0,20240930
20240930,000059,0.0,0.0,20240930
20240930,000060,-0.2807,-0.2807,20240930
20240930,000061,0.1701,0.1701,20240930
20240930,000062,0.252,0.252,20240930
20240930,000063,0.0184,0.0184,20240930
20240930,000065,-0.1578,-0.1578,20240930
20240930,000066,0.0184,0.0184,20240930
20240930,000068,0.1844,0.1844,20240930
20240930,000069,0.0266,0.0266,20240930
20240930,000070,-0.6025,-0.6025,20240930
20240930,000078,-0.1516,-0.1516,20240930
20240930,000088,0.1168,0.1168,20240930
20240930,000089,0.0,0.0,20240930
20240930,000090,0.0902,0.0902,20240930
20240930,000096,-0.2439,-0.2439,20240930
20240930,000099,0.0,0.0,20240930
20240930,000100,-0.1455,-0.1455,20240930
20240930,000151,0.082,0.082,20240930
20240930,000153,-0.1434,-0.1434,20240930
20240930,000155,0.3545,0.3545,20240930
20240930,000156,-0.1906,-0.1906,20240930
20240930,000157,-0.123,-0.123,20240930
20240930,000158,0.0984,0.0984,20240930
20240930,000159,0.0,0.0,20240930
20240930,000166,-0.2111,-0.2111,20240930
20240930,000301,0.1701,0.1701,20240930
20240930,000333,-0.1291,-0.1291,20240930
20240930,000338,0.0,0.0,20240930
20240930,000400,0.2869,0.2869,20240930
20240930,000401,0.0205,0.0205,20240930
20240930,000402,0.0389,0.0389,20240930
20240930,000403,-0.4529,-0.4529,20240930
20240930,000404,-0.1311,-0.1311,20240930
20240930,000407,0.0697,0.0697,20240930
20240930,000408,0.1926,0.1926,20240930
20240930,000409,-0.3504,-0.3504,20240930
20240930,000410,-0.3258,-0.3258,20240930
20240930,000411,-0.1639,-0.1639,20240930
20240930,000415,-0.3299,-0.3299,20240930
20240930,000417,-0.168,-0.168,20240930
20240930,000419,0.0,0.0,20240930
20240930,000420,0.0,0.0,20240930
20240930,000421,0.3176,0.3176,20240930
20240930,000422,0.3279,0.3279,20240930
20240930,000423,0.3525,0.3525,20240930
20240930,000425,0.0,0.0,20240930
20240930,000426,-0.3443,-0.3443,20240930
20240930,000428,-0.2377,-0.2377,20240930
20240930,000429,-0.2869,-0.2869,20240930
20240930,000430,0.1721,0.1721,20240930
20240930,000488,0.0,0.0,20240930
20240930,000498,-0.2992,-0.2992,20240930
20240930,000501,0.0922,0.0922,20240930
20240930,000503,0.0,0.0,20240930
20240930,000504,-0.0389,-0.0389,20240930
