ticker,report_period,ann_date,known_at,available_at,source_file,source_mode
000001,20260331,20260425,20260425,20260425,000001_fin.csv,REAL_FUNDAMENTALS
000002,20260331,20260430,20260430,20260430,000002_fin.csv,REAL_FUNDAMENTALS
000004,20260331,20260428,20260428,20260428,000004_fin.csv,REAL_FUNDAMENTALS
000006,20260331,20260430,20260430,20260430,000006_fin.csv,REAL_FUNDAMENTALS
000007,20260331,20260429,20260429,20260429,000007_fin.csv,REAL_FUNDAMENTALS
000008,20260331,20260430,20260430,20260430,000008_fin.csv,REAL_FUNDAMENTALS
000009,20260331,20260430,20260430,20260430,000009_fin.csv,REAL_FUNDAMENTALS
000010,20260331,20260429,20260429,20260429,000010_fin.csv,REAL_FUNDAMENTALS
000011,20260331,20260429,20260429,20260429,000011_fin.csv,REAL_FUNDAMENTALS
000012,20260331,20260428,20260428,20260428,000012_fin.csv,REAL_FUNDAMENTALS
000014,20260331,20260430,20260430,20260430,000014_fin.csv,REAL_FUNDAMENTALS
000016,20260331,20260429,20260429,20260429,000016_fin.csv,REAL_FUNDAMENTALS
000017,20260331,20260429,20260429,20260429,000017_fin.csv,REAL_FUNDAMENTALS
000019,20260331,20260428,20260428,20260428,000019_fin.csv,REAL_FUNDAMENTALS
000020,20260331,20260421,20260421,20260421,000020_fin.csv,REAL_FUNDAMENTALS
000021,20260331,20260429,20260429,20260429,000021_fin.csv,REAL_FUNDAMENTALS
000025,20260331,20260428,20260428,20260428,000025_fin.csv,REAL_FUNDAMENTALS
000026,20260331,20260425,20260425,20260425,000026_fin.csv,REAL_FUNDAMENTALS
000027,20260331,20260430,20260430,20260430,000027_fin.csv,REAL_FUNDAMENTALS
000028,20260331,20260430,20260430,20260430,000028_fin.csv,REAL_FUNDAMENTALS
000029,20260331,20260430,20260430,20260430,000029_fin.csv,REAL_FUNDAMENTALS
000030,20260331,20260422,20260422,20260422,000030_fin.csv,REAL_FUNDAMENTALS
000031,20260331,20260430,20260430,20260430,000031_fin.csv,REAL_FUNDAMENTALS
000032,20260331,20260428,20260428,20260428,000032_fin.csv,REAL_FUNDAMENTALS
000034,20260331,20260428,20260428,20260428,000034_fin.csv,REAL_FUNDAMENTALS
000035,20260331,20260429,20260429,20260429,000035_fin.csv,REAL_FUNDAMENTALS
000036,20260331,20260430,20260430,20260430,000036_fin.csv,REAL_FUNDAMENTALS
000037,20260331,20260429,20260429,20260429,000037_fin.csv,REAL_FUNDAMENTALS
000039,20260331,20260429,20260429,20260429,000039_fin.csv,REAL_FUNDAMENTALS
000042,20260331,20260430,20260430,20260430,000042_fin.csv,REAL_FUNDAMENTALS
000045,20260331,20260430,20260430,20260430,000045_fin.csv,REAL_FUNDAMENTALS
000048,20260331,20260430,20260430,20260430,000048_fin.csv,REAL_FUNDAMENTALS
000049,20260331,20260423,20260423,20260423,000049_fin.csv,REAL_FUNDAMENTALS
000050,20260331,20260430,20260430,20260430,000050_fin.csv,REAL_FUNDAMENTALS
000055,20260331,20260428,20260428,20260428,000055_fin.csv,REAL_FUNDAMENTALS
000056,20260331,20260429,20260429,20260429,000056_fin.csv,REAL_FUNDAMENTALS
000058,20260331,20260428,20260428,20260428,000058_fin.csv,REAL_FUNDAMENTALS
000059,20260331,20260428,20260428,20260428,000059_fin.csv,REAL_FUNDAMENTALS
000060,20260331,20260430,20260430,20260430,000060_fin.csv,REAL_FUNDAMENTALS
000061,20260331,20260428,20260428,20260428,000061_fin.csv,REAL_FUNDAMENTALS
000062,20260331,20260429,20260429,20260429,000062_fin.csv,REAL_FUNDAMENTALS
000063,20260331,20260425,20260425,20260425,000063_fin.csv,REAL_FUNDAMENTALS
000065,20260331,20260427,20260427,20260427,000065_fin.csv,REAL_FUNDAMENTALS
000066,20260331,20260429,20260429,20260429,000066_fin.csv,REAL_FUNDAMENTALS
