rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,report_period,ann_date,known_at,available_at,factor_id,factor_name
20260331,000001,0.2802,1.95,90.983,2.652,-2.41106,-2.41106,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,000002,-0.5384,-0.1813,77.1345,5.234,-2.19305,-2.19305,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000004,-0.7353,-0.2114,66.5686,7.0747,-1.67343,-1.67343,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000006,0.0141,0.1284,61.7005,0.1403,-1.7981,-1.7981,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000007,-0.1216,0.2401,43.7998,1.2047,-1.00237,-1.00237,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000008,-0.1408,-0.0244,73.1707,1.3991,-2.21901,-2.21901,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000009,0.0175,-0.0775,60.1965,0.1743,-1.7765,-1.7765,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000010,0.9144,-0.0358,86.8233,9.6412,-2.11243,-2.11243,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000011,-0.0809,-0.4588,78.7455,0.8056,-2.56243,-2.56243,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000012,-0.07,0.0128,57.5934,0.7536,-1.62446,-1.62446,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000014,-0.0615,0.0054,29.3811,0.5948,-0.50723,-0.50723,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000016,0.1633,-0.0217,131.0913,0.0,-4.59807,-4.59807,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000017,0.1569,-0.0624,18.7546,1.579,-0.0083,-0.0083,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000019,0.1284,0.2037,32.4379,1.2934,-0.52428,-0.52428,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000020,0.1172,0.0059,36.5649,1.178,-0.73772,-0.73772,20260331,20260421,20260421,20260421,F06,FUNDAMENTAL_QUALITY
20260331,000021,0.1813,0.0725,41.6829,1.8307,-0.8792,-0.8792,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000025,0.1789,0.2658,23.494,1.8053,-0.11495,-0.11495,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000026,0.1915,0.4553,9.7766,1.9327,0.48137,0.48137,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,000027,0.3555,0.2542,60.8959,2.4193,-1.5547,-1.5547,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000028,0.1531,-5.274,55.3929,1.5328,-2.51934,-2.51934,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000029,-0.0109,0.0122,10.0637,0.1087,0.23945,0.23945,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000030,0.141,-0.222,47.76,1.4712,-1.20915,-1.20915,20260331,20260422,20260422,20260422,F06,FUNDAMENTAL_QUALITY
20260331,000031,-0.2095,-0.1411,76.7409,2.1565,-2.34153,-2.34153,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000032,-0.1115,0.7233,81.8668,1.1099,-2.43368,-2.43368,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000034,0.2168,-3.4454,78.5384,2.1229,-3.03377,-3.03377,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000035,0.111,0.1243,66.1285,1.0227,-1.90752,-1.90752,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000036,0.0505,0.0353,24.9445,0.5076,-0.31841,-0.31841,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000037,0.0713,-0.0283,23.4852,0.7142,-0.2569,-0.2569,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000039,0.0407,0.0948,59.3953,0.4132,-1.69176,-1.69176,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000042,-0.2921,0.0718,94.6281,2.8801,-2.97444,-2.97444,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000045,0.0739,0.4572,21.2988,0.7426,-0.07022,-0.07022,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000048,-0.6347,0.0974,62.3494,5.898,-1.5113,-1.5113,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000049,0.1175,1.2933,58.632,1.1816,-1.36267,-1.36267,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,000050,-0.0519,0.5964,60.2527,0.5126,-1.62839,-1.62839,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000055,0.0505,-0.0803,53.3064,0.5059,-1.47607,-1.47607,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000056,0.1476,0.0679,233.8036,0.0,-8.69005,-8.69005,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000058,0.1214,-0.0208,49.9572,1.2198,-1.27553,-1.27553,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000059,0.0455,-0.8675,60.705,0.4566,-1.93319,-1.93319,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000060,0.2445,-0.2207,60.5537,2.5532,-1.63814,-1.63814,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000061,0.1561,0.1097,52.0504,1.5744,-1.30605,-1.30605,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000062,0.2925,-0.5549,56.9925,2.9544,-1.53098,-1.53098,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000063,0.1681,-0.4136,65.871,1.7216,-1.95248,-1.95248,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,000065,0.0987,0.1864,53.4738,0.991,-1.39227,-1.39227,20260331,20260427,20260427,20260427,F06,FUNDAMENTAL_QUALITY
20260331,000066,-0.0767,-0.1983,63.321,0.7616,-1.8959,-1.8959,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,000068,-0.309,-0.0281,73.3312,3.0558,-2.13255,-2.13255,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,000069,-0.4116,-0.2098,80.4533,3.6028,-2.42755,-2.42755,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000070,-0.0953,0.254,78.4136,0.9468,-2.39865,-2.39865,20260331,20260427,20260427,20260427,F06,FUNDAMENTAL_QUALITY
20260331,000078,0.1163,0.0102,91.6221,1.1741,-2.93941,-2.93941,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,000088,0.1977,0.0213,17.9132,1.8671,0.06538,0.06538,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
