rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,ann_date,known_at,available_at,factor_id
20260331,603435,10.8131,0.57,19.3628,1.0648,1.84757,1.84757,20260306,20260306,20260306,F06
20260430,000001,6.3099,1.95,90.983,1.3131,-6.29009,-6.29009,20260425,20260425,20260425,F06
20260430,000002,-0.91371,-0.1813,77.1345,-0.9492,-8.403503,-8.403503,20260430,20260430,20260430,F06
20260430,000004,-3.42066,-0.2114,66.5686,-0.0674,-7.752298,-7.752298,20260428,20260428,20260428,F06
20260430,000006,0.86725,0.1284,61.7005,0.0101,-5.880155,-5.880155,20260430,20260430,20260430,F06
20260430,000007,-0.50086,0.2401,43.7998,-0.0084,-4.485578,-4.485578,20260429,20260429,20260429,F06
20260430,000008,-0.54401,-0.0244,73.1707,-0.0162,-7.491633,-7.491633,20260430,20260430,20260430,F06
20260430,000009,0.86697,-0.0775,60.1965,0.0122,-5.770179,-5.770179,20260430,20260430,20260430,F06
20260430,000010,4.87885,-0.0358,86.8233,0.0283,-7.214515,-7.214515,20260429,20260429,20260429,F06
20260430,000011,0.71311,-0.4588,78.7455,-0.0845,-7.786177,-7.786177,20260429,20260429,20260429,F06
20260430,000012,0.47102,0.0128,57.5934,-0.0543,-5.637194,-5.637194,20260428,20260428,20260428,F06
20260430,000014,0.83315,0.0054,29.3811,-0.065,-2.713085,-2.713085,20260430,20260430,20260430,F06
20260430,000016,-0.95781,-0.0217,131.0913,-0.0134,-13.406173,-13.406173,20260429,20260429,20260429,F06
20260430,000017,0.90545,-0.0624,18.7546,0.0121,-1.611465,-1.611465,20260429,20260429,20260429,F06
20260430,000019,1.54055,0.2037,32.4379,0.1021,-2.700045,-2.700045,20260428,20260428,20260428,F06
20260430,000020,0.90834,0.0059,36.5649,0.0296,-3.370968,-3.370968,20260421,20260421,20260421,F06
20260430,000021,2.65888,0.0725,41.6829,0.2916,-3.239486,-3.239486,20260429,20260429,20260429,F06
20260430,000025,1.78877,0.2658,23.494,0.1399,-1.703649,-1.703649,20260428,20260428,20260428,F06
20260430,000026,2.68931,0.4553,9.7766,0.3037,0.041673,0.041673,20260425,20260425,20260425,F06
20260430,000027,2.69109,0.2542,60.8959,0.4689,-5.043863,-5.043863,20260430,20260430,20260430,F06
20260430,000028,7.71314,-5.274,55.3929,1.0251,-3.870108,-3.870108,20260430,20260430,20260430,F06
20260430,000029,0.65884,0.0122,10.0637,-0.0069,-0.809038,-0.809038,20260430,20260430,20260430,F06
20260430,000030,1.74912,-0.222,47.76,0.1283,-4.244344,-4.244344,20260422,20260422,20260422,F06
20260430,000031,-0.61605,-0.1411,76.7409,-0.0852,-7.921205,-7.921205,20260430,20260430,20260430,F06
20260430,000032,0.64043,0.7233,81.8668,-0.126,-7.900291,-7.900291,20260428,20260428,20260428,F06
20260430,000034,4.25925,-3.4454,78.5384,0.6512,-7.004665,-7.004665,20260428,20260428,20260428,F06
20260430,000035,1.42743,0.1243,66.1285,0.0909,-6.123401,-6.123401,20260429,20260429,20260429,F06
20260430,000036,0.99207,0.0353,24.9445,0.033,-2.176569,-2.176569,20260430,20260430,20260430,F06
20260430,000037,0.92382,-0.0283,23.4852,0.0347,-2.063154,-2.063154,20260429,20260429,20260429,F06
20260430,000039,1.94995,0.0948,59.3953,0.0669,-5.308825,-5.308825,20260429,20260429,20260429,F06
20260430,000042,-0.78815,0.0718,94.6281,-0.1766,-9.755535,-9.755535,20260430,20260430,20260430,F06
20260430,000045,1.56976,0.4572,21.2988,0.0813,-1.534992,-1.534992,20260430,20260430,20260430,F06
20260430,000048,-1.6674,0.0974,62.3494,-0.8436,-7.05312,-7.05312,20260430,20260430,20260430,F06
20260430,000049,4.18902,1.2933,58.632,0.4045,-4.186034,-4.186034,20260423,20260423,20260423,F06
20260430,000050,1.92881,0.5964,60.2527,-0.1094,-5.371107,-5.371107,20260430,20260430,20260430,F06
20260430,000055,1.30186,-0.0803,53.3064,0.0484,-4.936782,-4.936782,20260428,20260428,20260428,F06
20260430,000056,-0.41584,0.0679,233.8036,-0.0099,-23.495492,-23.495492,20260429,20260429,20260429,F06
20260430,000058,0.94693,-0.0208,49.9572,0.0326,-4.702761,-4.702761,20260428,20260428,20260428,F06
20260430,000059,1.45527,-0.8675,60.705,0.0515,-5.786819,-5.786819,20260428,20260428,20260428,F06
20260430,000060,2.20912,-0.2207,60.5537,0.2,-5.356774,-5.356774,20260430,20260430,20260430,F06
20260430,000061,1.67848,0.1097,52.0504,0.1233,-4.630236,-4.630236,20260428,20260428,20260428,F06
20260430,000062,2.84795,-0.5549,56.9925,0.3588,-4.812325,-4.812325,20260429,20260429,20260429,F06
20260430,000063,4.1534,-0.4136,65.871,0.5242,-5.21412,-5.21412,20260425,20260425,20260425,F06
20260430,000065,2.45151,0.1864,53.4738,0.1813,-4.502127,-4.502127,20260427,20260427,20260427,F06
20260430,000066,0.28918,-0.1983,63.321,-0.0461,-6.303446,-6.303446,20260429,20260429,20260429,F06
20260430,000068,-1.417,-0.0281,73.3312,-0.0246,-7.77368,-7.77368,20260428,20260428,20260428,F06
20260430,000069,-1.00378,-0.2098,80.4533,-0.3167,-8.515104,-8.515104,20260430,20260430,20260430,F06
20260430,000070,-0.25432,0.254,78.4136,-0.0162,-7.873336,-7.873336,20260427,20260427,20260427,F06
20260430,000078,0.68308,0.0102,91.6221,0.0073,-8.952326,-8.952326,20260430,20260430,20260430,F06
20260430,000088,1.66265,0.0213,17.9132,0.1246,-1.238425,-1.238425,20260423,20260423,20260423,F06
20260430,000089,2.29485,0.4196,52.269,0.2333,-4.361205,-4.361205,20260424,20260424,20260424,F06
20260430,000090,1.11929,-0.0856,74.1723,-0.0232,-7.107843,-7.107843,20260429,20260429,20260429,F06
20260430,000096,1.27319,-0.096,26.6638,0.0427,-2.286543,-2.286543,20260429,20260429,20260429,F06
20260430,000099,2.31689,0.4107,26.6386,0.2256,-1.796413,-1.796413,20260428,20260428,20260428,F06
20260430,000100,1.8675,0.5478,65.0272,0.1212,-5.78443,-5.78443,20260430,20260430,20260430,F06
20260430,000151,1.5649,-0.2642,73.7536,0.0819,-6.92597,-6.92597,20260424,20260424,20260424,F06
20260430,000153,1.82654,0.02,58.9795,0.1452,-5.287908,-5.287908,20260429,20260429,20260429,F06
20260430,000155,2.46346,-0.1738,51.6265,0.2595,-4.354572,-4.354572,20260430,20260430,20260430,F06
20260430,000156,2.02909,-0.5292,45.7166,0.115,-4.022773,-4.022773,20260427,20260427,20260427,F06
20260430,000157,2.1409,0.1081,57.6623,0.1871,-5.0275,-5.0275,20260429,20260429,20260429,F06
20260430,000158,-0.30448,-0.9649,64.2596,-0.1123,-6.755204,-6.755204,20260430,20260430,20260430,F06
20260430,000159,1.03941,-0.0327,44.0644,0.0275,-4.090157,-4.090157,20260429,20260429,20260429,F06
20260430,000166,1.98407,0.3568,81.2312,0.1639,-7.390979,-7.390979,20260430,20260430,20260430,F06
20260430,000301,3.17048,0.5346,81.1,0.4048,-6.890016,-6.890016,20260429,20260429,20260429,F06
20260430,000333,9.40012,1.9109,60.0182,3.3264,-1.469044,-1.469044,20260430,20260430,20260430,F06
