rebalance_date,ticker,factor_value,factor_id,factor_name,source
20210501,000001,0.439,F02,F02,research_simulation
20210501,000002,0.223,F02,F02,research_simulation
20210501,000004,0.613,F02,F02,research_simulation
20210501,000006,0.896,F02,F02,research_simulation
20210501,000007,0.435,F02,F02,research_simulation
20210501,000008,0.247,F02,F02,research_simulation
20210501,000009,0.135,F02,F02,research_simulation
20210501,000010,0.493,F02,F02,research_simulation
20210501,000011,0.936,F02,F02,research_simulation
20210501,000012,0.375,F02,F02,research_simulation
20210501,000014,0.678,F02,F02,research_simulation
20210501,000016,0.548,F02,F02,research_simulation
20210501,000017,0.261,F02,F02,research_simulation
20210501,000019,0.373,F02,F02,research_simulation
20210501,000020,0.326,F02,F02,research_simulation
20210501,000021,0.536,F02,F02,research_simulation
20210501,000025,0.212,F02,F02,research_simulation
20210501,000026,0.116,F02,F02,research_simulation
20210501,000027,0.029,F02,F02,research_simulation
20210501,000028,0.796,F02,F02,research_simulation
20210501,000029,0.149,F02,F02,research_simulation
20210501,000030,0.94,F02,F02,research_simulation
20210501,000031,0.069,F02,F02,research_simulation
20210501,000032,0.675,F02,F02,research_simulation
20210501,000034,0.135,F02,F02,research_simulation
20210501,000035,0.472,F02,F02,research_simulation
20210501,000036,0.899,F02,F02,research_simulation
20210501,000037,0.774,F02,F02,research_simulation
20210501,000039,0.413,F02,F02,research_simulation
20210501,000042,0.747,F02,F02,research_simulation
20210501,000045,0.859,F02,F02,research_simulation
20210501,000048,0.179,F02,F02,research_simulation
20210501,000049,0.92,F02,F02,research_simulation
20210501,000050,0.661,F02,F02,research_simulation
20210501,000055,0.218,F02,F02,research_simulation
20210501,000056,0.51,F02,F02,research_simulation
20210501,000058,0.472,F02,F02,research_simulation
20210501,000059,0.576,F02,F02,research_simulation
20210501,000060,0.137,F02,F02,research_simulation
20210501,000061,0.392,F02,F02,research_simulation
20210501,000062,0.067,F02,F02,research_simulation
20210501,000063,0.373,F02,F02,research_simulation
20210501,000065,0.489,F02,F02,research_simulation
20210501,000066,0.399,F02,F02,research_simulation
20210501,000068,0.749,F02,F02,research_simulation
20210501,000069,0.794,F02,F02,research_simulation
20210501,000070,0.71,F02,F02,research_simulation
20210501,000078,0.465,F02,F02,research_simulation
20210501,000088,0.243,F02,F02,research_simulation
20210501,000089,0.611,F02,F02,research_simulation
