rebalance_date,ticker,factor_id,bucket,factor_value,bucket_forward_return_20d,bucket_forward_return_60d
20240930,000656,F03,LOW,-0.875,0.09375,0.34375
20240930,000909,F03,LOW,-0.8627,0.232737,0.404092
20240930,000609,F03,LOW,-0.8504,0.120192,0.149038
20240930,001316,F03,LOW,-0.6906,0.002918,-0.033074
20240930,001267,F03,LOW,-0.6742,0.133758,0.289809
20240930,000719,F03,LOW,-0.625,-0.128928,-0.067687
20240930,000889,F03,LOW,-0.6045,0.201087,0.375
20240930,000070,F03,LOW,-0.6025,0.197849,0.243011
20240930,001219,F03,LOW,-0.5717,0.029276,0.075501
20240930,000829,F03,LOW,-0.5656,0.467167,0.233583
20240930,000796,F03,LOW,-0.5615,0.365497,0.184211
20240930,000833,F03,LOW,-0.5533,0.010417,1.013889
20240930,001229,F03,LOW,-0.5533,-0.09776,0.298969
20240930,000598,F03,LOW,-0.5205,0.002755,0.053719
20240930,000962,F03,LOW,-0.4898,0.127517,0.182047
20240930,000810,F03,LOW,-0.4734,0.146209,0.568592
20240930,000863,F03,LOW,-0.4713,-0.050378,0.010076
20240930,000752,F03,LOW,-0.4631,-0.045058,0.238372
20240930,000403,F03,LOW,-0.4529,-0.085184,-0.132418
20240930,001205,F03,LOW,-0.4303,0.195193,0.07034
20240930,000615,F03,LOW,-0.4283,0.15942,0.826087
20240930,001259,F03,LOW,-0.418,-0.030165,0.004113
20240930,000633,F03,LOW,-0.4098,-0.005825,-0.118447
20240930,000030,F03,LOW,-0.4078,0.007533,-0.00565
20240930,000596,F03,LOW,-0.3975,-0.039503,-0.159984
20240930,000711,F03,LOW,-0.3955,0.034884,-0.069767
20240930,000785,F03,LOW,-0.3873,-0.010239,0.273038
20240930,000637,F03,LOW,-0.3811,0.022409,0.044818
20240930,000928,F03,LOW,-0.3709,0.010769,0.006154
20240930,001288,F03,LOW,-0.3689,-0.013849,0.085227
20240930,001287,F03,LOW,-0.3586,-0.010173,0.104273
20240930,000681,F03,LOW,-0.3525,0.165414,0.647368
20240930,000409,F03,LOW,-0.3504,0.0181,0.031674
20240930,000045,F03,LOW,-0.3463,0.181152,0.160209
20240930,000426,F03,LOW,-0.3443,0.025506,-0.105026
20240930,001260,F03,LOW,-0.3422,0.009785,0.058708
20240930,000895,F03,LOW,-0.3402,-0.080842,-0.034699
20240930,001324,F03,LOW,-0.334,-0.059565,-0.0252
20240930,000543,F03,LOW,-0.332,-0.06851,-0.050481
20240930,000886,F03,LOW,-0.332,0.149312,0.603143
20240930,000415,F03,LOW,-0.3299,0.330033,0.29703
20240930,000410,F03,LOW,-0.3258,0.133333,-0.011111
20240930,000809,F03,LOW,-0.3258,0.050228,0.374429
20240930,000960,F03,LOW,-0.3217,-0.012883,-0.104294
20240930,001309,F03,LOW,-0.3074,-0.009063,0.09861
20240930,000883,F03,LOW,-0.3053,-0.05618,-0.052434
20240930,000726,F03,LOW,-0.3033,-0.018349,0.003058
20240930,000922,F03,LOW,-0.3033,0.012624,0.022543
20240930,000498,F03,LOW,-0.2992,0.057377,-0.001639
20240930,000695,F03,LOW,-0.2971,-0.11,-0.041818
20240930,000529,F03,LOW,-0.293,-0.062193,0.001637
20240930,000429,F03,LOW,-0.2869,-0.035149,0.228471
20240930,000885,F03,LOW,-0.2848,0.037945,0.056917
20240930,001223,F03,LOW,-0.2848,0.020326,0.183739
20240930,000060,F03,LOW,-0.2807,0.018145,-0.030242
20240930,000551,F03,LOW,-0.2746,0.235632,0.173372
20240930,000911,F03,LOW,-0.2746,-0.059133,-0.047306
20240930,001230,F03,LOW,-0.2746,0.037327,0.021674
20240930,000700,F03,LOW,-0.2643,0.008824,0.077941
20240930,000908,F03,LOW,-0.2643,0.478006,0.363636
20240930,001289,F03,LOW,-0.2643,0.067342,-0.044696
20240930,001308,F03,LOW,-0.2643,-0.076058,0.264626
20240930,000570,F03,LOW,-0.2623,-0.003861,0.007722
20240930,000999,F03,LOW,-0.2623,-0.035287,-0.05251
20240930,000019,F03,LOW,-0.2602,-0.008889,-0.011852
20240930,000049,F03,LOW,-0.25,-0.045159,-0.061998
20240930,001226,F03,LOW,-0.25,-0.022928,0.100563
20240930,000096,F03,LOW,-0.2439,0.254049,0.242915
20240930,001225,F03,LOW,-0.2398,0.036072,-0.026675
20240930,000428,F03,LOW,-0.2377,-0.046961,-0.116022
20240930,000525,F03,LOW,-0.2377,0.176116,-0.308806
20240930,000733,F03,LOW,-0.2377,0.065033,0.000229
20240930,000812,F03,LOW,-0.2336,0.013889,0.111111
20240930,001323,F03,LOW,-0.2336,0.141943,0.150777
20240930,000669,F03,LOW,-0.2316,0.12,0.34
20240930,000636,F03,LOW,-0.2295,-0.001899,-0.048101
20240930,000725,F03,LOW,-0.2275,0.006711,-0.004474
20240930,001211,F03,LOW,-0.2254,0.032768,0.179052
20240930,000967,F03,LOW,-0.2213,0.029915,0.089744
20240930,000989,F03,LOW,-0.2213,0.016371,0.08322
20240930,000729,F03,LOW,-0.2193,-0.092444,0.068444
20240930,000538,F03,LOW,-0.2152,-0.051311,-0.009344
20240930,000755,F03,LOW,-0.2152,-0.022727,0.072314
20240930,001217,F03,LOW,-0.2152,-0.049467,0.354025
20240930,000978,F03,LOW,-0.2131,-0.090258,-0.12894
20240930,000166,F03,LOW,-0.2111,-0.036713,-0.022727
20240930,000672,F03,LOW,-0.2111,0.077792,-0.017566
20240930,000949,F03,LOW,-0.2111,-0.03125,0.075521
20240930,000902,F03,LOW,-0.209,-0.011852,-0.032593
20240930,001299,F03,LOW,-0.207,0.005486,-0.029781
20240930,001255,F03,LOW,-0.2029,0.014109,0.249252
20240930,000779,F03,LOW,-0.1988,-0.040698,-0.015116
20240930,001331,F03,LOW,-0.1947,-0.019731,-0.016143
20240930,000807,F03,LOW,-0.1926,0.014199,-0.058824
20240930,000156,F03,LOW,-0.1906,-0.026774,0.001339
20240930,000682,F03,LOW,-0.1906,-0.037815,-0.10084
20240930,000692,F03,LOW,-0.1885,0.152439,0.051829
20240930,000969,F03,LOW,-0.1885,0.142127,0.199387
20240930,000526,F03,LOW,-0.1865,-0.237597,-0.313837
20240930,000417,F03,LOW,-0.168,0.05,0.276
20240930,000768,F03,LOW,-0.168,0.039855,-0.00942
20240930,000581,F03,LOW,-0.166,-0.069379,-0.002608
20240930,000877,F03,LOW,-0.166,0.084211,0.026316
20240930,000411,F03,LOW,-0.1639,0.010271,0.006536
20240930,000541,F03,LOW,-0.1619,0.016393,0.127505
20240930,000788,F03,LOW,-0.1619,0.012966,0.069692
20240930,000513,F03,LOW,-0.1598,-0.074293,-0.060763
20240930,001208,F03,LOW,-0.1598,-0.046759,0.010627
20240930,001209,F03,LOW,-0.1598,-0.017756,0.221591
20240930,000065,F03,LOW,-0.1578,-0.03484,-0.056497
20240930,001218,F03,LOW,-0.1578,0.001881,0.080878
20240930,001296,F03,LOW,-0.1578,-0.056447,0.083779
20240930,000025,F03,LOW,-0.1557,0.075919,0.00949
20240930,000517,F03,LOW,-0.1557,-0.097378,-0.146067
20240930,000589,F03,LOW,-0.1537,-0.097248,-0.051376
20240930,000766,F03,LOW,-0.1537,-0.078645,-0.032063
20240930,000782,F03,LOW,-0.1537,0.0131,0.008734
20240930,000078,F03,LOW,-0.1516,0.041985,0.003817
20240930,000100,F03,LOW,-0.1455,0.117904,0.133188
20240930,001258,F03,LOW,-0.1455,-0.022255,0.206231
20240930,000039,F03,LOW,-0.1434,-0.03337,-0.120133
20240930,000153,F03,LOW,-0.1434,0.031046,0.01634
20240930,000932,F03,LOW,-0.1434,-0.014894,-0.097872
20240930,000034,F03,LOW,-0.1414,0.169591,0.204029
20240930,000938,F03,LOW,-0.1393,0.073737,0.209196
20240930,001314,F03,LOW,-0.1393,0.035773,0.291127
20240930,001313,F03,LOW,-0.1373,-0.105528,0.163317
20240930,001239,F03,LOW,-0.1352,0.021505,-0.063321
20240930,001333,F03,LOW,-0.1352,0.012707,-0.030387
20240930,001326,F03,LOW,-0.1332,-0.045629,-0.037383
20240930,000404,F03,LOW,-0.1311,0.043662,0.066197
20240930,000586,F03,LOW,-0.1311,0.100679,0.135747
20240930,000825,F03,LOW,-0.1311,-0.045685,-0.091371
20240930,000333,F03,LOW,-0.1291,-0.042335,-0.009729
20240930,000532,F03,LOW,-0.1291,0.017781,-0.020626
20240930,000893,F03,LOW,-0.1291,0.009906,0.085506
20240930,000157,F03,LOW,-0.123,-0.048813,-0.05409
20240930,000830,F03,LOW,-0.1209,-0.047962,-0.04956
20240930,000568,F03,LOW,-0.1189,-0.082832,-0.152572
20240930,000601,F03,LOW,-0.1189,-0.021583,-0.009592
20240930,000716,F03,LOW,-0.1189,0.206742,0.501124
20240930,000767,F03,LOW,-0.1189,-0.011194,-0.037313
20240930,001282,F03,LOW,-0.1189,-0.011667,0.044239
20240930,001306,F03,LOW,-0.1189,0.001926,0.128057
20240930,000534,F03,LOW,-0.1148,0.007092,0.144504
20240930,000881,F03,LOW,-0.1127,0.018336,0.059238
20240930,000901,F03,LOW,-0.1107,0.127641,0.004401
20240930,000582,F03,LOW,-0.1086,-0.03528,-0.053528
20240930,000655,F03,LOW,-0.1086,0.055292,-0.011058
20240930,000756,F03,LOW,-0.1086,-0.049258,-0.023145
20240930,000790,F03,LOW,-0.1086,0.074627,-0.007463
20240930,000823,F03,LOW,-0.1086,0.091916,0.223699
20240930,000709,F03,LOW,-0.1025,0.004505,0.009009
20240930,001206,F03,LOW,-0.1025,0.116311,0.162423
20240930,001203,F03,LOW,-0.1004,-0.066882,-0.039914
20240930,001227,F03,LOW,-0.0984,-0.05303,-0.041667
20240930,000797,F03,LOW,-0.0963,-0.10089,-0.160237
20240930,000897,F03,LOW,-0.0963,-0.019084,-0.080153
20240930,000822,F03,LOW,-0.0902,-0.071192,-0.039735
20240930,000970,F03,LOW,-0.0902,0.088174,0.108921
20240930,001234,F03,LOW,-0.0902,0.04878,-0.034262
20240930,000819,F03,LOW,-0.0861,-0.027057,-0.061844
20240930,000620,F03,MID,-0.084,-0.021505,0.215054
20240930,001207,F03,MID,-0.082,0.371557,0.297245
